ID,ind,truth
1066009133411680,0,mostafa.mosad3
100000078103169,0,mostafa.mosad3
979468642065730,0,mostafa.mosad3
979717825374145,0,mostafa.mosad3
1171811912831401,0,mostafa.mosad3
1066017246744202,0,mostafa.mosad3
1174324999246759,0,mostafa.mosad3
1102235676455692,0,mostafa.mosad3
1066002426745684,0,mostafa.mosad3
979523765393551,0,mostafa.mosad3
1271938969485361,0,mostafa.mosad3
979548035391124,0,mostafa.mosad3
1171680176177908,0,mostafa.mosad3
969246546421273,0,mostafa.mosad3
100002100540824,0,mostafa.mosad.7
979845315361396,0,mostafa.mosad3
1174317439247515,0,mostafa.mosad3
979542718724989,0,mostafa.mosad3
964255970322560,1,mostafa.mosad.10
1009209989160491,1,mostafa.mosad.10
964257870322370,1,mostafa.mosad.10
975611912520299,1,mostafa.mosad.10
1069190426495780,1,mostafa.mosad.10
964254203656070,1,mostafa.mosad.10
1068652056549617,1,mostafa.mosad.10
1034606283287528,1,mostafa.mosad.10
964254590322698,1,mostafa.mosad.10
1073660116048811,1,mostafa.mosad.10
1114781371936685,1,mostafa.mosad.10
996745183740305,1,mostafa.mosad.10
1116912628390226,1,mostafa.mosad.10
964269060321251,1,mostafa.mosad.10
1036909843057172,1,mostafa.mosad.10
1228700007158891,2,mostafa.mosad.353
1800077436881157,3,mostafa.mosad.7106
1823940681161499,4,mostafa.mosad.7106
100000567117452,5,mostafa.mosad.353
1438704969491726,6,mostafa.mosad.353
1438673812828175,7,mostafa.mosad.353
1806382386314137,8,profile.php?id=100008271783454
100003077712161,9,100003077712161
1680205375627035,10,profile.php?id=100009127671711
1107837545962920,11,mostafa.mosad.7
100002144979497,12,mostafa.mosad.10
565849417,13,Mostafa.Mosad.E
1799996540222580,14,mostafa.mosad.7106
1153878661361467,15,mostafa.mosad.9889
1438574912838065,16,mostafa.mosad.353
983052661707328,17,mostafa.mosad3
1114221811992641,18,mostafa.mosad.10
190866118021578,19,mostafa.mosad.1804
190866098021580,20,mostafa.mosad.1804
1817068285193680,21,profile.php?id=100006715784560
100005052426321,22,mostafa.mosaad.353
1438682509493972,23,mostafa.mosad.353
1808930162726026,24,profile.php?id=100008271783454
1036372369759097,25,Abolkhodod
1146370545484002,26,profile.php?id=100003332034839
969263299752931,27,mostafa.mosad3
1438670382828518,28,mostafa.mosad.353
964269446987879,29,mostafa.mosad.10
1810941749191534,30,profile.php?id=100008271783454
1153797658036234,31,mostafa.mosad.9889
1132856073462548,32,mostafa.mosad.10
1745069082381993,33,mostafa.mosad.7106
1438677009494522,34,mostafa.mosad.353
1170003323079675,35,mostafa.mosad.7
100001590311164,36,Abolkhodod
687495794749239,37,profile.php?id=100004664732398
688787821286703,37,profile.php?id=100004664732398

